column,value,count,pct
linkedin_presence,0,199236,19.9236
linkedin_presence,1,800764,80.0764
website_available,0,150403,15.0403
website_available,1,849597,84.9597
verification_status,0,300287,30.0287
verification_status,1,699713,69.9713
unrealistic_salary_flag,0,1000000,100.0
payment_required,0,900095,90.0095
payment_required,1,99905,9.9905
fake_certificate_offer,0,920170,92.017
fake_certificate_offer,1,79830,7.983
suspicious_email_domain,0,749433,74.9433
suspicious_email_domain,1,250567,25.0567
social_media_presence,0,250200,25.02
social_media_presence,1,749800,74.98
is_fake_posting,0,778042,77.8042
is_fake_posting,1,221958,22.1958
