metric,value
company_age_min,1.0
company_age_max,39.0
company_age_median,20.0
company_age_null,10000.0
domain_age_months_min,1.0
domain_age_months_max,500.0
domain_age_months_median,240.0
domain_age_months_null,0.0
rows_comparable,990000.0
rows_domain_older_than_company,469297.0
pct_of_all_rows,46.9297
pct_of_comparable_rows,47.403737
excess_months_min,1.0
excess_months_median,10.0
excess_months_max,73.0
excess_months_mean,12.082107918865878
pearson_r_company_months_vs_domain_months,0.9939590523896814
domain_older_label_0,365049.0
domain_older_label_1,104248.0
domain_older_label_1_rate_pct,22.213651
