fraud_score_bin,label_0,label_1,total,pct_of_rows,label_1_rate_pct
"(-0.001, 10.0]",139153,0,139153,13.9153,0.0
"(10.0, 20.0]",142756,0,142756,14.2756,0.0
"(20.0, 30.0]",177858,0,177858,17.7858,0.0
"(30.0, 40.0]",175390,0,175390,17.539,0.0
"(40.0, 50.0]",142885,620,143505,14.3505,0.432041
"(50.0, 60.0]",0,100407,100407,10.0407,100.0
"(60.0, 70.0]",0,60761,60761,6.0761,100.0
"(70.0, 80.0]",0,32915,32915,3.2915,100.0
"(80.0, 90.0]",0,16224,16224,1.6224,100.0
"(90.0, 100.0]",0,11031,11031,1.1031,100.0
