threshold,rule,false_positives,false_negatives,mismatches,mismatch_pct,accuracy_pct
0.0,predict 1 if fraud_score >= threshold,778042,0,778042,77.8042,22.1958
0.1,predict 1 if fraud_score >= threshold,726456,0,726456,72.6456,27.3544
0.2,predict 1 if fraud_score >= threshold,725896,0,725896,72.5896,27.4104
0.3,predict 1 if fraud_score >= threshold,725331,0,725331,72.5331,27.4669
0.4,predict 1 if fraud_score >= threshold,724710,0,724710,72.471,27.529
0.5,predict 1 if fraud_score >= threshold,724119,0,724119,72.4119,27.5881
0.6,predict 1 if fraud_score >= threshold,723502,0,723502,72.3502,27.6498
0.7,predict 1 if fraud_score >= threshold,722915,0,722915,72.2915,27.7085
0.8,predict 1 if fraud_score >= threshold,722257,0,722257,72.2257,27.7743
0.9,predict 1 if fraud_score >= threshold,721599,0,721599,72.1599,27.8401
1.0,predict 1 if fraud_score >= threshold,720921,0,720921,72.0921,27.9079
1.1,predict 1 if fraud_score >= threshold,720306,0,720306,72.0306,27.9694
1.2,predict 1 if fraud_score >= threshold,719586,0,719586,71.9586,28.0414
1.3,predict 1 if fraud_score >= threshold,718918,0,718918,71.8918,28.1082
1.4,predict 1 if fraud_score >= threshold,718312,0,718312,71.8312,28.1688
1.5,predict 1 if fraud_score >= threshold,717670,0,717670,71.767,28.233
1.6,predict 1 if fraud_score >= threshold,717008,0,717008,71.7008,28.2992
1.7,predict 1 if fraud_score >= threshold,716280,0,716280,71.628,28.372
1.8,predict 1 if fraud_score >= threshold,715606,0,715606,71.5606,28.4394
1.9,predict 1 if fraud_score >= threshold,714908,0,714908,71.4908,28.5092
2.0,predict 1 if fraud_score >= threshold,714270,0,714270,71.427,28.573
2.1,predict 1 if fraud_score >= threshold,713534,0,713534,71.3534,28.6466
2.2,predict 1 if fraud_score >= threshold,712804,0,712804,71.2804,28.7196
2.3,predict 1 if fraud_score >= threshold,712074,0,712074,71.2074,28.7926
2.4,predict 1 if fraud_score >= threshold,711396,0,711396,71.1396,28.8604
2.5,predict 1 if fraud_score >= threshold,710695,0,710695,71.0695,28.9305
2.6,predict 1 if fraud_score >= threshold,709950,0,709950,70.995,29.005
2.7,predict 1 if fraud_score >= threshold,709247,0,709247,70.9247,29.0753
2.8,predict 1 if fraud_score >= threshold,708528,0,708528,70.8528,29.1472
2.9,predict 1 if fraud_score >= threshold,707770,0,707770,70.777,29.223
3.0,predict 1 if fraud_score >= threshold,707020,0,707020,70.702,29.298
3.1,predict 1 if fraud_score >= threshold,706246,0,706246,70.6246,29.3754
3.2,predict 1 if fraud_score >= threshold,705427,0,705427,70.5427,29.4573
3.3,predict 1 if fraud_score >= threshold,704656,0,704656,70.4656,29.5344
3.4,predict 1 if fraud_score >= threshold,703902,0,703902,70.3902,29.6098
3.5,predict 1 if fraud_score >= threshold,703067,0,703067,70.3067,29.6933
3.6,predict 1 if fraud_score >= threshold,702302,0,702302,70.2302,29.7698
3.7,predict 1 if fraud_score >= threshold,701533,0,701533,70.1533,29.8467
3.8,predict 1 if fraud_score >= threshold,700736,0,700736,70.0736,29.9264
3.9,predict 1 if fraud_score >= threshold,699928,0,699928,69.9928,30.0072
4.0,predict 1 if fraud_score >= threshold,699156,0,699156,69.9156,30.0844
4.1,predict 1 if fraud_score >= threshold,698320,0,698320,69.832,30.168
4.2,predict 1 if fraud_score >= threshold,697512,0,697512,69.7512,30.2488
4.3,predict 1 if fraud_score >= threshold,696667,0,696667,69.6667,30.3333
4.4,predict 1 if fraud_score >= threshold,695820,0,695820,69.582,30.418
4.5,predict 1 if fraud_score >= threshold,694947,0,694947,69.4947,30.5053
4.6,predict 1 if fraud_score >= threshold,694168,0,694168,69.4168,30.5832
4.7,predict 1 if fraud_score >= threshold,693348,0,693348,69.3348,30.6652
4.8,predict 1 if fraud_score >= threshold,692466,0,692466,69.2466,30.7534
4.9,predict 1 if fraud_score >= threshold,691670,0,691670,69.167,30.833
5.0,predict 1 if fraud_score >= threshold,690800,0,690800,69.08,30.92
5.1,predict 1 if fraud_score >= threshold,689947,0,689947,68.9947,31.0053
5.2,predict 1 if fraud_score >= threshold,689035,0,689035,68.9035,31.0965
5.3,predict 1 if fraud_score >= threshold,688210,0,688210,68.821,31.179
5.4,predict 1 if fraud_score >= threshold,687360,0,687360,68.736,31.264
5.5,predict 1 if fraud_score >= threshold,686428,0,686428,68.6428,31.3572
