posting_date,year,month,row_count,label_1_count,label_0_count,label_1_rate_pct
2026-09-24,2026,9,303,77,226,25.412541
2026-09-25,2026,9,322,78,244,24.223602
2026-09-26,2026,9,318,87,231,27.358491
2026-09-27,2026,9,310,69,241,22.258065
2026-09-28,2026,9,289,60,229,20.761246
2026-09-29,2026,9,328,54,274,16.463415
2026-09-30,2026,9,325,85,240,26.153846
2026-10-01,2026,10,303,61,242,20.132013
2026-10-02,2026,10,283,71,212,25.088339
2026-10-03,2026,10,284,63,221,22.183099
2026-10-04,2026,10,289,56,233,19.377163
2026-10-05,2026,10,306,61,245,19.934641
2026-10-06,2026,10,308,64,244,20.779221
2026-10-07,2026,10,306,51,255,16.666667
2026-10-08,2026,10,281,68,213,24.199288
2026-10-09,2026,10,275,58,217,21.090909
2026-10-10,2026,10,325,65,260,20.0
2026-10-11,2026,10,310,73,237,23.548387
2026-10-12,2026,10,337,81,256,24.035608
2026-10-13,2026,10,323,64,259,19.814241
2026-10-14,2026,10,288,67,221,23.263889
2026-10-15,2026,10,303,69,234,22.772277
2026-10-16,2026,10,300,75,225,25.0
2026-10-17,2026,10,294,53,241,18.027211
2026-10-18,2026,10,298,64,234,21.47651
2026-10-19,2026,10,326,71,255,21.779141
2026-10-20,2026,10,299,51,248,17.056856
2026-10-21,2026,10,311,72,239,23.151125
2026-10-22,2026,10,328,80,248,24.390244
2026-10-23,2026,10,324,60,264,18.518519
2026-10-24,2026,10,306,75,231,24.509804
2026-10-25,2026,10,311,81,230,26.045016
2026-10-26,2026,10,322,77,245,23.913043
2026-10-27,2026,10,292,65,227,22.260274
2026-10-28,2026,10,310,72,238,23.225806
2026-10-29,2026,10,316,75,241,23.734177
2026-10-30,2026,10,275,57,218,20.727273
2026-10-31,2026,10,302,65,237,21.523179
2026-11-01,2026,11,313,70,243,22.364217
2026-11-02,2026,11,289,59,230,20.415225
2026-11-03,2026,11,286,62,224,21.678322
2026-11-04,2026,11,305,71,234,23.278689
2026-11-05,2026,11,321,69,252,21.495327
2026-11-06,2026,11,276,70,206,25.362319
2026-11-07,2026,11,320,66,254,20.625
2026-11-08,2026,11,313,76,237,24.28115
2026-11-09,2026,11,291,61,230,20.962199
2026-11-10,2026,11,330,73,257,22.121212
2026-11-11,2026,11,349,64,285,18.338109
2026-11-12,2026,11,323,61,262,18.885449
2026-11-13,2026,11,328,79,249,24.085366
2026-11-14,2026,11,300,54,246,18.0
2026-11-15,2026,11,325,72,253,22.153846
2026-11-16,2026,11,305,69,236,22.622951
2026-11-17,2026,11,290,55,235,18.965517
2026-11-18,2026,11,314,65,249,20.700637
2026-11-19,2026,11,287,72,215,25.087108
2026-11-20,2026,11,316,82,234,25.949367
2026-11-21,2026,11,298,64,234,21.47651
2026-11-22,2026,11,294,71,223,24.14966
2026-11-23,2026,11,317,74,243,23.343849
2026-11-24,2026,11,318,71,247,22.327044
2026-11-25,2026,11,298,77,221,25.838926
2026-11-26,2026,11,302,57,245,18.874172
2026-11-27,2026,11,276,77,199,27.898551
2026-11-28,2026,11,304,68,236,22.368421
2026-11-29,2026,11,301,59,242,19.601329
2026-11-30,2026,11,306,87,219,28.431373
2026-12-01,2026,12,303,78,225,25.742574
2026-12-02,2026,12,320,78,242,24.375
2026-12-03,2026,12,321,71,250,22.11838
2026-12-04,2026,12,302,63,239,20.860927
2026-12-05,2026,12,316,74,242,23.417722
2026-12-06,2026,12,305,73,232,23.934426
2026-12-07,2026,12,304,59,245,19.407895
2026-12-08,2026,12,291,69,222,23.71134
2026-12-09,2026,12,311,80,231,25.723473
2026-12-10,2026,12,290,63,227,21.724138
2026-12-11,2026,12,302,71,231,23.509934
2026-12-12,2026,12,287,52,235,18.118467
2026-12-13,2026,12,300,64,236,21.333333
2026-12-14,2026,12,278,63,215,22.661871
2026-12-15,2026,12,296,64,232,21.621622
2026-12-16,2026,12,296,67,229,22.635135
2026-12-17,2026,12,289,60,229,20.761246
2026-12-18,2026,12,330,81,249,24.545455
2026-12-19,2026,12,294,74,220,25.170068
2026-12-20,2026,12,346,88,258,25.433526
2026-12-21,2026,12,309,62,247,20.064725
2026-12-22,2026,12,317,72,245,22.712934
2026-12-23,2026,12,293,68,225,23.208191
2026-12-24,2026,12,311,61,250,19.614148
2026-12-25,2026,12,317,72,245,22.712934
2026-12-26,2026,12,300,67,233,22.333333
2026-12-27,2026,12,298,60,238,20.134228
2026-12-28,2026,12,296,70,226,23.648649
2026-12-29,2026,12,311,64,247,20.578778
2026-12-30,2026,12,286,68,218,23.776224
2026-12-31,2026,12,302,57,245,18.874172
