verification_status,linkedin_presence,website_available,social_media_presence,row_count,mean,std,min,max,distinct_scores,range,indicator_sum,pct_of_usable_rows
0,0,0,0,2231,41.27126848946661,15.57129946264072,0.0,90.0,633,90.0,0,0.225354
0,0,0,1,6549,41.721300961978926,15.272968815458443,0.0,93.4,779,93.4,1,0.661515
0,0,1,0,12724,41.68748035209054,15.208161059931355,0.0,88.6,813,88.6,1,1.285253
0,1,0,0,9021,51.593437534641396,15.197237508268081,0.0,100.0,801,100.0,1,0.911212
1,0,0,0,5255,51.5982302568982,15.14653091789858,0.0,97.3,748,97.3,1,0.530808
0,0,1,1,37707,41.56684170048001,15.140823734741925,0.0,95.5,869,95.5,2,3.808788
0,1,1,0,50368,51.545380003176625,15.15902758744248,0.0,100.0,949,100.0,2,5.087677
0,1,0,1,26725,51.556333021515435,15.233999829644699,0.0,100.0,915,100.0,2,2.699495
1,0,1,0,29580,51.41800878972278,15.319693175002707,0.0,100.0,917,100.0,2,2.987879
1,0,0,1,15428,51.647115633912364,15.155436224045099,0.0,100.0,866,100.0,2,1.558384
1,1,0,0,21196,61.5808926212493,15.105732851096645,2.9,100.0,847,97.1,2,2.14101
0,1,1,1,151888,51.59438401980407,15.246157110550945,0.0,100.0,986,100.0,3,15.342222
1,0,1,1,87778,51.56305794162546,15.20790466531834,0.0,100.0,974,100.0,3,8.866465
1,1,0,1,62410,61.58021791379586,15.155975330443965,0.0,100.0,915,100.0,3,6.30404
1,1,1,0,117285,61.509175938952126,15.173402268251388,0.0,100.0,937,100.0,3,11.84697
1,1,1,1,353855,61.53230447499683,15.194943053129364,0.0,100.0,979,100.0,4,35.742929
