left,right,left_levels,right_levels,observed_combinations,possible_combinations,all_combinations_present,cramers_v,left_determines_right,right_determines_left
internship_title,industry,9,9,81,81,True,0.0012360622055842647,False,False
internship_title,employment_type,9,4,36,36,True,0.0,False,False
internship_title,work_mode,9,3,27,27,True,0.0015357437221107462,False,False
internship_title,location,9,9,81,81,True,0.0,False,False
industry,internship_title,9,9,81,81,True,0.0012360622055842647,False,False
employment_type,work_mode,4,3,12,12,True,0.0,False,False
location,industry,9,9,81,81,True,0.0,False,False
location,internship_title,9,9,81,81,True,0.0,False,False
location,company_size,9,4,36,36,True,0.0,False,False
industry,company_size,9,4,36,36,True,0.0,False,False
recruiter_email_type,suspicious_email_domain,2,2,2,4,False,1.0,True,True
payment_required,fake_certificate_offer,2,2,4,4,True,0.0,False,False
company_size,verification_status,4,2,8,8,True,0.0007317877623805919,False,False
company_name,company_size + linkedin_presence + website_available + verification_status + social_media_presence,535938,64,64,64,True,,False,False
