metric,value
companies_with_more_than_one_posting,63946
repeated_companies_with_one_distinct_value,1531
repeated_companies_with_multiple_distinct_values,62411
max_distinct_values_one_company,39
consecutive_posting_pairs_examined,458854
pairs_value_increases,225123
pairs_value_unchanged,11591
pairs_value_decreases,222140
companies_showing_a_decrease,44130
pairs_same_day_conflicting_value,8675
company_year_groups_with_more_than_one_row,72173
company_year_groups_with_multiple_distinct_values,70872
pairs_outside_elapsed_time_tolerance,435828
companies_outside_elapsed_time_tolerance,61660
