distinct_combinations_per_company_name,company_names,pct_of_company_names,rows_covered,pct_of_rows
1,473664,88.38037235650393,475373,47.5373
2,33419,6.23560934287175,68604,6.8604
3,10890,2.031951457071527,34301,3.4301
4,4788,0.8933869216215309,20489,2.0489
5,2517,0.46964387671708296,13806,1.3806
6,1490,0.2780172333366919,10115,1.0115
7,962,0.17949837481201183,7741,0.7741
8,650,0.12128268568379179,6366,0.6366
9,477,0.08900283241718258,5531,0.5531
10,445,0.08303199250659592,5973,0.5973
11,447,0.08340517000100758,6876,0.6876
12,472,0.08806988868115341,8130,0.813
13,473,0.08825647742835925,9050,0.905
14,432,0.08060633879292008,9064,0.9064
15,454,0.08471129123144841,10370,1.037
16,460,0.08583082371468341,11659,1.1659
17,355,0.0662390052580709,9785,0.9785
18,360,0.06717194899410006,10618,1.0618
19,306,0.057096156644985054,9972,0.9972
20,256,0.04776671928469338,8920,0.892
21,259,0.04832648552631088,9680,0.968
22,246,0.045900831812635046,10151,1.0151
23,192,0.03582503946352003,8363,0.8363
24,195,0.03638480570513754,9606,0.9606
25,156,0.029107844564110027,8073,0.8073
26,166,0.030973732036168364,9745,0.9745
27,143,0.026682190850434193,8802,0.8802
28,111,0.02071135093984752,7470,0.747
29,99,0.01847228597337752,7034,0.7034
30,97,0.018099108478965852,7533,0.7533
31,111,0.02071135093984752,8946,0.8946
32,71,0.01324780105161418,6202,0.6202
33,95,0.017725930984554182,8553,0.8553
34,78,0.014553922282055013,7817,0.7817
35,67,0.012501446062790845,7003,0.7003
36,48,0.008956259865880008,5315,0.5315
37,43,0.008023316129850841,5278,0.5278
38,49,0.009142848613085843,6432,0.6432
39,33,0.006157428657792506,4657,0.4657
40,33,0.006157428657792506,4937,0.4937
41,35,0.0065306061522041724,5414,0.5414
42,21,0.003918363691322504,3788,0.3788
43,32,0.005970839910586672,5745,0.5745
44,26,0.004851307427351671,5434,0.5434
45,26,0.004851307427351671,5981,0.5981
46,25,0.004664718680145838,6428,0.6428
47,18,0.0033585974497050033,5258,0.5258
48,21,0.003918363691322504,6233,0.6233
49,24,0.004478129932940004,7549,0.7549
50,14,0.002612242460881669,5000,0.5
51,14,0.002612242460881669,4975,0.4975
52,9,0.0016792987248525017,3426,0.3426
53,13,0.0024256537136758357,5161,0.5161
54,11,0.0020524762192641686,5090,0.509
55,9,0.0016792987248525017,5137,0.5137
56,8,0.001492709977646668,5041,0.5041
57,2,0.000373177494411667,1459,0.1459
58,7,0.0013061212304408345,5094,0.5094
59,4,0.000746354988823334,4316,0.4316
60,6,0.001119532483235001,4814,0.4814
61,4,0.000746354988823334,4317,0.4317
