metric,value
companies_with_more_than_one_posting,63946
repeated_companies_with_one_distinct_value,75
repeated_companies_with_multiple_distinct_values,63871
max_distinct_values_one_company,451
consecutive_posting_pairs_examined,464062
pairs_value_increases,233185
pairs_value_unchanged,969
pairs_value_decreases,229908
companies_showing_a_decrease,45197
pairs_same_day_conflicting_value,9063
company_year_groups_with_more_than_one_row,72173
company_year_groups_with_multiple_distinct_values,72102
pairs_outside_elapsed_time_tolerance,452442
companies_outside_elapsed_time_tolerance,63125
