employment_type,work_mode,rows,pct_of_all_rows,pct_within_employment_type,pct_within_work_mode
Contract,Hybrid,62499,6.2499,25.03274335219831,24.947111277871358
Contract,Onsite,50033,5.0033,20.039732605970304,24.999625252954257
Contract,Remote,137137,13.7137,54.92752404183138,24.964002191724965
Full-Time,Hybrid,62201,6.2201,24.916978123885865,24.82816154810279
Full-Time,Onsite,50077,5.0077,20.060248444716844,25.021610412971246
Full-Time,Remote,137355,13.7355,55.02277343139729,25.003686248382145
Internship,Hybrid,62943,6.2943,25.177401419211353,25.124338392023184
Internship,Onsite,49832,4.9832,19.932959463675708,24.89919304469483
Internship,Remote,137223,13.7223,54.889639117112935,24.979657370039266
Part-Time,Hybrid,62883,6.2883,25.082967690466692,25.100388782002668
Part-Time,Onsite,50193,5.0193,20.02114080574392,25.07957128937967
Part-Time,Remote,137624,13.7624,54.89589150378939,25.052654189853623
