industry,internship_title,rows,pct_of_all_rows,pct_within_industry,pct_within_internship_title
AI,AI Research Intern,12443,1.2443,11.129397243365563,11.165549483583241
AI,Backend Developer,12521,1.2521,11.199162813162438,11.287501802971297
AI,Cloud Engineer,12509,1.2509,11.188429648578303,11.220645485369836
AI,Cybersecurity Analyst,12570,1.257,11.242989901880987,11.283763768076913
AI,Data Science Intern,12343,1.2343,11.039954205164442,11.16993357586288
AI,Frontend Developer,12377,1.2377,11.070364838152823,11.19168829289906
AI,ML Engineer,12348,1.2348,11.044426357074498,11.155882406085684
AI,Marketing Intern,12347,1.2347,11.043531926692486,11.065900678455238
AI,UI/UX Designer,12345,1.2345,11.041743065928463,11.082284503653698
Cybersecurity,AI Research Intern,12350,1.235,11.138368296686448,11.082097253255085
Cybersecurity,Backend Developer,12328,1.2328,11.11852666895146,11.113515072840041
Cybersecurity,Cloud Engineer,12387,1.2387,11.171738306968019,11.11121077842163
Cybersecurity,Cybersecurity Analyst,12276,1.2276,11.071628276123306,11.019847574933348
Cybersecurity,Data Science Intern,12418,1.2418,11.199696964230956,11.23780565057646
Cybersecurity,Frontend Developer,12382,1.2382,11.167228846119158,11.196209456465716
Cybersecurity,ML Engineer,12160,1.216,10.967008784429733,10.986032560576767
Cybersecurity,Marketing Intern,12198,1.2198,11.001280686881076,10.932360611954076
Cybersecurity,UI/UX Designer,12379,1.2379,11.164523169609842,11.112806793902724
E-Commerce,AI Research Intern,12231,1.2231,11.017330835194928,10.975314291867445
E-Commerce,Backend Developer,12274,1.2274,11.056063990776105,11.064834847829223
E-Commerce,Cloud Engineer,12398,1.2398,11.1677596022195,11.12107784216286
E-Commerce,Cybersecurity Analyst,12274,1.2274,11.056063990776105,11.01805222668067
E-Commerce,Data Science Intern,12390,1.239,11.160553433739281,11.21246674268339
E-Commerce,Frontend Developer,12121,1.2121,10.918246018591915,10.960204718286299
E-Commerce,ML Engineer,12369,1.2369,11.141637241478707,11.17485499521168
E-Commerce,Marketing Intern,12577,1.2577,11.328997621964401,11.272036351577833
E-Commerce,UI/UX Designer,12382,1.2382,11.153347265259061,11.11549993715999
EdTech,AI Research Intern,12526,1.2526,11.242449536426218,11.240028355811596
EdTech,Backend Developer,12379,1.2379,11.11051275837619,11.159490840905812
EdTech,Cloud Engineer,12532,1.2532,11.247834711040506,11.241276618646957
EdTech,Cybersecurity Analyst,12304,1.2304,11.043198075697605,11.04498245047083
EdTech,Data Science Intern,12374,1.2374,11.106025112864284,11.197987366744494
EdTech,Frontend Developer,12253,1.2253,10.997424091476166,11.079563436446003
EdTech,ML Engineer,12323,1.2323,11.060251128642847,11.133295990459498
EdTech,Marketing Intern,12362,1.2362,11.095254763635712,11.07934430931106
EdTech,UI/UX Designer,12364,1.2364,11.097049821840473,11.099341077616389
FinTech,AI Research Intern,12439,1.2439,11.203782931772123,11.161960140343322
FinTech,Backend Developer,12265,1.2265,11.047061472641296,11.056721476994086
FinTech,Cloud Engineer,12267,1.2267,11.04886286872326,11.003570083062737
FinTech,Cybersecurity Analyst,12328,1.2328,11.103805449223149,11.066526629502958
FinTech,Data Science Intern,12118,1.2118,10.914658860616978,10.966317351722141
FinTech,Frontend Developer,12285,1.2285,11.065075433460931,11.108498883272599
FinTech,ML Engineer,12435,1.2435,11.200180139608197,11.23448313246481
FinTech,Marketing Intern,12442,1.2442,11.206485025895068,11.15104367387544
FinTech,UI/UX Designer,12446,1.2446,11.210087818058996,11.172953659981687
Gaming,AI Research Intern,12497,1.2497,11.261906692980796,11.21400561732217
Gaming,Backend Developer,12253,1.2253,11.042021501887948,11.045903649213905
Gaming,Cloud Engineer,12401,1.2401,11.175394486649184,11.123768859546832
Gaming,Cybersecurity Analyst,12498,1.2498,11.26280786179675,11.21913123098053
Gaming,Data Science Intern,12023,1.2023,10.83475267421846,10.880346057084939
Gaming,Frontend Developer,12159,1.2159,10.957311633188246,10.99456556139288
Gaming,ML Engineer,12313,1.2313,11.096091630845207,11.124261424209024
Gaming,Marketing Intern,12475,1.2475,11.2420809790298,11.180619661758248
Gaming,UI/UX Designer,12348,1.2348,11.127632539403606,11.084977646910964
Healthcare,AI Research Intern,12378,1.2378,11.11560117460061,11.10722265593453
Healthcare,Backend Developer,12379,1.2379,11.116499187298508,11.159490840905812
Healthcare,Cloud Engineer,12297,1.2297,11.042862146070746,11.03048025690246
Healthcare,Cybersecurity Analyst,12217,1.2217,10.971021130238782,10.966884801479367
Healthcare,Data Science Intern,12269,1.2269,11.017717790529558,11.102966462145481
Healthcare,Frontend Developer,12398,1.2398,11.1335614285586,11.210677179879013
Healthcare,ML Engineer,12439,1.2439,11.170379949172482,11.238096958965
Healthcare,Marketing Intern,12570,1.257,11.288019612597322,11.26576265717845
Healthcare,UI/UX Designer,12410,1.241,11.144337580933394,11.140635940894482
Marketing,AI Research Intern,12287,1.2287,11.068870771586866,11.025565097226336
Marketing,Backend Developer,12294,1.2294,11.075176793838116,11.082864560796192
Marketing,Cloud Engineer,12333,1.2333,11.110310346380794,11.062772465510127
Marketing,Cybersecurity Analyst,12297,1.2297,11.077879374802936,11.038698731586459
Marketing,Data Science Intern,12286,1.2286,11.067969911265259,11.11835079908056
Marketing,Frontend Developer,12289,1.2289,11.070672492230079,11.112115814125923
Marketing,ML Engineer,12319,1.2319,11.097698301878294,11.129682163959309
Marketing,Marketing Intern,12575,1.2575,11.32831854420972,11.270243867463725
Marketing,UI/UX Designer,12325,1.2325,11.103103463807937,11.064330215271918
Software,AI Research Intern,12290,1.229,11.118951977707813,11.028257104656275
Software,Backend Developer,12235,1.2235,11.069192631997973,11.029676907543632
Software,Cloud Engineer,12358,1.2358,11.180472623312706,11.085197610376563
Software,Cybersecurity Analyst,12635,1.2635,11.431078782614989,11.342112586288925
Software,Data Science Intern,12281,1.2281,11.11080953931893,11.113825994099654
Software,Frontend Developer,12327,1.2327,11.152426446639888,11.146476657232505
Software,ML Engineer,11980,1.198,10.838490210979625,10.82341036806823
Software,Marketing Intern,12031,1.2031,10.884630695183295,10.78268818842593
Software,UI/UX Designer,12395,1.2395,11.21394709224478,11.127170224608149
