location,industry,rows,pct_of_all_rows,pct_within_location,pct_within_industry
Bangalore,AI,12407,1.2407,11.133245394423955,11.097197749613159
Bangalore,Cybersecurity,12427,1.2427,11.151192110623558,11.207813993758906
Bangalore,E-Commerce,12306,1.2306,11.042614477615958,11.084888664696981
Bangalore,EdTech,12544,1.2544,11.256180400391239,11.25860506026908
Bangalore,FinTech,12409,1.2409,11.135040066043915,11.176761990542671
Bangalore,Gaming,12291,1.2291,11.029154440466256,11.076265916894211
Bangalore,Healthcare,12441,1.2441,11.163754811963281,11.17217597456828
Bangalore,Marketing,12446,1.2446,11.168241491013182,11.2121075627224
Bangalore,Software,12170,1.217,10.920576807458655,11.010386132522708
Berlin,AI,12305,1.2305,11.0865843769709,11.005965850648014
Berlin,Cybersecurity,12382,1.2382,11.155959996396072,11.167228846119158
Berlin,E-Commerce,12423,1.2423,11.1929002612848,11.190278878720184
Berlin,EdTech,12352,1.2352,11.128930534282368,11.0862794726119
Berlin,FinTech,12139,1.2139,10.93702135327507,10.933573519477594
Berlin,Gaming,12390,1.239,11.163167852959726,11.165481629673687
Berlin,Healthcare,12347,1.2347,11.124425623930083,11.087762780965722
Berlin,Marketing,12272,1.2272,11.056851968645823,11.055357866762758
Berlin,Software,12380,1.238,11.154158032255157,11.200376361596641
Dubai,AI,12545,1.2545,11.303125591285466,11.220629142330706
Dubai,Cybersecurity,12242,1.2242,11.030120644760197,11.040963942351052
Dubai,E-Commerce,12371,1.2371,11.146350473478876,11.14343878359876
Dubai,EdTech,12495,1.2495,11.258075270076676,11.214626134252404
Dubai,FinTech,12425,1.2425,11.19500482038437,11.191173159198378
Dubai,Gaming,12170,1.217,10.96524818221954,10.967224490163742
Dubai,Healthcare,12255,1.2255,11.041833728274483,11.005145612758964
Dubai,Marketing,12355,1.2355,11.131934370692063,11.13012927345615
Dubai,Software,12129,1.2129,10.928306918828332,10.973292802084464
London,AI,12239,1.2239,11.050616682015999,10.946933445435274
London,Cybersecurity,12215,1.2215,11.028947035772974,11.016612853767203
London,E-Commerce,12351,1.2351,11.151741697816783,11.125423362398212
London,EdTech,12435,1.2435,11.22758545966737,11.160774388109534
London,FinTech,12300,1.23,11.105693699550354,11.07858590407566
London,Gaming,12270,1.227,11.078606641746573,11.057341371759172
London,Healthcare,12391,1.2391,11.187857774888492,11.127275339673304
London,Marketing,12255,1.2255,11.065063112844683,11.040043241295438
London,Software,12298,1.2298,11.103887895696769,11.126189700720154
New York,AI,12577,1.2577,11.375826481788005,11.249250914555066
New York,Cybersecurity,12200,1.22,11.034832080608544,11.003084471220621
New York,E-Commerce,12324,1.2324,11.146989390280304,11.101102543777474
New York,EdTech,12185,1.2185,11.021264664115993,10.936392112514248
New York,FinTech,12356,1.2356,11.17593321213108,11.129024994370637
New York,Gaming,12218,1.2218,11.051112980399605,11.010480593329548
New York,Healthcare,12295,1.2295,11.120759051728037,11.041066120674946
New York,Marketing,12318,1.2318,11.141562423683283,11.096797441556687
New York,Software,12086,1.2086,10.931719715265153,10.934390040893135
San Francisco,AI,12396,1.2396,11.12846754645839,11.087359015411035
San Francisco,Cybersecurity,12436,1.2436,11.164377412694138,11.215931023286856
San Francisco,E-Commerce,12430,1.243,11.158990932758776,11.196584276140376
San Francisco,EdTech,12342,1.2342,11.07998922704013,11.077304181588088
San Francisco,FinTech,12269,1.2269,11.014453721159889,11.050664264805224
San Francisco,Gaming,12373,1.2373,11.107819373372834,11.150161759802463
San Francisco,Healthcare,12455,1.2455,11.181434599156118,11.184748152338875
San Francisco,Marketing,12186,1.2186,10.93994074872071,10.977883879104544
San Francisco,Software,12503,1.2503,11.224526438639016,11.311656352911374
Singapore,AI,12354,1.2354,11.141573925434246,11.049792939366565
Singapore,Cybersecurity,12326,1.2326,11.116321855666383,11.116722884611915
Singapore,E-Commerce,12274,1.2274,11.069425154668927,11.056063990776105
Singapore,EdTech,12317,1.2317,11.108205118955286,11.054865954028559
Singapore,FinTech,12327,1.2327,11.11722371530095,11.102904751182166
Singapore,Gaming,12268,1.2268,11.064013996861528,11.055539034127262
Singapore,Healthcare,12439,1.2439,11.218231994372395,11.170379949172482
Singapore,Marketing,12398,1.2398,11.18125574935517,11.168866267285257
Singapore,Software,12179,1.2179,10.983748489385112,11.018528570911592
Sydney,AI,12563,1.2563,11.265243902439025,11.236728889206908
Sydney,Cybersecurity,12303,1.2303,11.032101865136298,11.095979364707155
Sydney,E-Commerce,12339,1.2339,11.064383070301291,11.114614109677884
Sydney,EdTech,12293,1.2293,11.023134863701578,11.033325255571413
Sydney,FinTech,12442,1.2442,11.15674318507891,11.206485025895068
Sydney,Gaming,12512,1.2512,11.21951219512195,11.27542422522011
Sydney,Healthcare,12390,1.239,11.110114777618364,11.126377326975403
Sydney,Marketing,12316,1.2316,11.043758967001434,11.094995720913472
Sydney,Software,12362,1.2362,11.085007173601149,11.184091484818875
Toronto,AI,12417,1.2417,11.138620522619016,11.10614205343327
Toronto,Cybersecurity,12347,1.2347,11.0758273006988,11.135662620177131
Toronto,E-Commerce,12198,1.2198,10.942167442611481,10.987605390214023
Toronto,EdTech,12454,1.2454,11.171811225633988,11.177827441054776
Toronto,FinTech,12358,1.2358,11.085694807000547,11.1308263904526
Toronto,Gaming,12475,1.2475,11.190649192210053,11.2420809790298
Toronto,Healthcare,12344,1.2344,11.073136162616503,11.085068742872025
Toronto,Marketing,12459,1.2459,11.176296455771146,11.223818746903293
Toronto,Software,12425,1.2425,11.145796890838469,11.241088553541056
