internship_title,attribute,value,rows,pct_within_title
AI Research Intern,industry,AI,12443,11.165549483583241
AI Research Intern,industry,Cybersecurity,12350,11.082097253255085
AI Research Intern,industry,E-Commerce,12231,10.975314291867445
AI Research Intern,industry,EdTech,12526,11.240028355811596
AI Research Intern,industry,FinTech,12439,11.161960140343322
AI Research Intern,industry,Gaming,12497,11.21400561732217
AI Research Intern,industry,Healthcare,12378,11.10722265593453
AI Research Intern,industry,Marketing,12287,11.025565097226336
AI Research Intern,industry,Software,12290,11.028257104656275
Backend Developer,industry,AI,12521,11.287501802971297
Backend Developer,industry,Cybersecurity,12328,11.113515072840041
Backend Developer,industry,E-Commerce,12274,11.064834847829223
Backend Developer,industry,EdTech,12379,11.159490840905812
Backend Developer,industry,FinTech,12265,11.056721476994086
Backend Developer,industry,Gaming,12253,11.045903649213905
Backend Developer,industry,Healthcare,12379,11.159490840905812
Backend Developer,industry,Marketing,12294,11.082864560796192
Backend Developer,industry,Software,12235,11.029676907543632
Cloud Engineer,industry,AI,12509,11.220645485369836
Cloud Engineer,industry,Cybersecurity,12387,11.11121077842163
Cloud Engineer,industry,E-Commerce,12398,11.12107784216286
Cloud Engineer,industry,EdTech,12532,11.241276618646957
Cloud Engineer,industry,FinTech,12267,11.003570083062737
Cloud Engineer,industry,Gaming,12401,11.123768859546832
Cloud Engineer,industry,Healthcare,12297,11.03048025690246
Cloud Engineer,industry,Marketing,12333,11.062772465510127
Cloud Engineer,industry,Software,12358,11.085197610376563
Cybersecurity Analyst,industry,AI,12570,11.283763768076913
Cybersecurity Analyst,industry,Cybersecurity,12276,11.019847574933348
Cybersecurity Analyst,industry,E-Commerce,12274,11.01805222668067
Cybersecurity Analyst,industry,EdTech,12304,11.04498245047083
Cybersecurity Analyst,industry,FinTech,12328,11.066526629502958
Cybersecurity Analyst,industry,Gaming,12498,11.21913123098053
Cybersecurity Analyst,industry,Healthcare,12217,10.966884801479367
Cybersecurity Analyst,industry,Marketing,12297,11.038698731586459
Cybersecurity Analyst,industry,Software,12635,11.342112586288925
Data Science Intern,industry,AI,12343,11.16993357586288
Data Science Intern,industry,Cybersecurity,12418,11.23780565057646
