column_name,pandas_dtype,non_null_count,null_count,null_percentage,unique_count,unique_percentage,unique_percentage_of_non_null
posting_date,str,1000000,0,0.0,3287,0.3287,0.3287
internship_title,str,1000000,0,0.0,9,0.0009,0.0009
employment_type,str,1000000,0,0.0,4,0.0004,0.0004
work_mode,str,1000000,0,0.0,3,0.0003,0.0003
industry,str,1000000,0,0.0,9,0.0009,0.0009
location,str,1000000,0,0.0,9,0.0009,0.0009
company_name,str,1000000,0,0.0,535938,53.5938,53.5938
company_size,str,1000000,0,0.0,4,0.0004,0.0004
company_age,float64,990000,10000,1.0,39,0.0039,0.0039
linkedin_presence,int64,1000000,0,0.0,2,0.0002,0.0002
website_available,int64,1000000,0,0.0,2,0.0002,0.0002
domain_age_months,int64,1000000,0,0.0,500,0.05,0.05
verification_status,int64,1000000,0,0.0,2,0.0002,0.0002
stipend,float64,990000,10000,1.0,73830,7.383,7.4576
unrealistic_salary_flag,int64,1000000,0,0.0,1,0.0001,0.0001
payment_required,int64,1000000,0,0.0,2,0.0002,0.0002
registration_fee,int64,1000000,0,0.0,4951,0.4951,0.4951
job_description_length,int64,1000000,0,0.0,3946,0.3946,0.3946
grammatical_errors,int64,1000000,0,0.0,15,0.0015,0.0015
vague_description_score,int64,1000000,0,0.0,101,0.0101,0.0101
urgency_score,int64,1000000,0,0.0,101,0.0101,0.0101
keyword_spam_score,int64,1000000,0,0.0,101,0.0101,0.0101
fake_certificate_offer,int64,1000000,0,0.0,2,0.0002,0.0002
recruiter_experience_years,float64,1000000,0,0.0,183,0.0183,0.0183
recruiter_email_type,str,1000000,0,0.0,2,0.0002,0.0002
suspicious_email_domain,int64,1000000,0,0.0,2,0.0002,0.0002
recruiter_response_time_hours,float64,1000000,0,0.0,595,0.0595,0.0595
social_media_presence,int64,1000000,0,0.0,2,0.0002,0.0002
emotional_manipulation_score,int64,1000000,0,0.0,101,0.0101,0.0101
phishing_language_score,int64,1000000,0,0.0,100,0.01,0.01
trust_signal_score,float64,990000,10000,1.0,1001,0.1001,0.1011
fraud_score,float64,1000000,0,0.0,1001,0.1001,0.1001
is_fake_posting,int64,1000000,0,0.0,2,0.0002,0.0002
