column_name,pandas_dtype,count,null_count,mean,std,min,25%,median,75%,max,zero_count,negative_count,distinct_values,iqr_lower_fence,iqr_upper_fence,iqr_outlier_count,iqr_outlier_percentage
company_age,float64,990000,10000,20.000173737373736,11.252081943359011,1.0,10.0,20.0,30.0,39.0,0,0,39,-20.0,60.0,0,0.0
linkedin_presence,int64,1000000,0,0.800764,0.3994260580447598,0.0,1.0,1.0,1.0,1.0,199236,0,2,,,0,0.0
website_available,int64,1000000,0,0.849597,0.3574661737466433,0.0,1.0,1.0,1.0,1.0,150403,0,2,,,0,0.0
domain_age_months,int64,1000000,0,239.541209,135.73789104960113,1.0,123.0,240.0,356.0,500.0,0,0,500,-226.5,705.5,0,0.0
verification_status,int64,1000000,0,0.699713,0.45838294879492164,0.0,0.0,1.0,1.0,1.0,300287,0,2,-1.5,2.5,0,0.0
stipend,float64,990000,10000,35066.19820606061,14830.059509481338,2000.0,24841.0,34984.0,45124.0,110428.0,0,0,73830,-5583.5,75548.5,3348,0.3382
unrealistic_salary_flag,int64,1000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000,0,1,,,0,0.0
payment_required,int64,1000000,0,0.099905,0.29987344147003236,0.0,0.0,0.0,0.0,1.0,900095,0,2,,,0,0.0
registration_fee,int64,1000000,0,252.083069,881.4674888477028,0.0,0.0,0.0,0.0,4999.0,900095,0,4951,,,0,0.0
job_description_length,int64,1000000,0,1799.538324,598.5631564013302,100.0,1395.0,1799.0,2203.0,5000.0,0,0,3946,183.0,3415.0,7040,0.704
grammatical_errors,int64,1000000,0,2.998825,1.73182753719925,0.0,2.0,3.0,4.0,14.0,49716,0,15,-1.0,7.0,11891,1.1891
vague_description_score,int64,1000000,0,30.132072,18.81498028142201,0.0,16.0,30.0,43.0,100.0,73938,0,101,-24.5,83.5,3472,0.3472
urgency_score,int64,1000000,0,40.047191,23.612604717917517,0.0,23.0,39.0,56.0,100.0,59153,0,101,-26.5,105.5,0,0.0
keyword_spam_score,int64,1000000,0,25.57386,18.116422077914528,0.0,11.0,25.0,38.0,100.0,114428,0,101,-29.5,78.5,3451,0.3451
fake_certificate_offer,int64,1000000,0,0.07983,0.2710299698506506,0.0,0.0,0.0,0.0,1.0,920170,0,2,,,0,0.0
recruiter_experience_years,float64,1000000,0,5.0526603,2.871692311063398,0.0,3.0,5.0,7.0,19.6,49615,0,183,-3.0,13.0,3585,0.3585
suspicious_email_domain,int64,1000000,0,0.250567,0.433339781573728,0.0,0.0,0.0,1.0,1.0,749433,0,2,-1.5,2.5,0,0.0
recruiter_response_time_hours,float64,1000000,0,18.1804672,9.61105108414408,1.0,11.2,18.0,24.8,63.9,0,0,595,-9.200000000000003,45.2,3217,0.3217
social_media_presence,int64,1000000,0,0.7498,0.43312832694265985,0.0,0.0,1.0,1.0,1.0,250200,0,2,-1.5,2.5,0,0.0
emotional_manipulation_score,int64,1000000,0,25.563839,18.129997939296747,0.0,11.0,24.0,38.0,100.0,114946,0,101,-29.5,78.5,3516,0.3516
phishing_language_score,int64,1000000,0,20.749288,15.884218702896904,0.0,7.0,19.0,32.0,100.0,145727,0,100,-30.5,69.5,2650,0.265
trust_signal_score,float64,990000,10000,56.55584727272727,16.362310121175287,0.0,45.6,56.9,67.9,100.0,479,0,1001,12.149999999999999,101.35000000000001,4510,0.4556
fraud_score,float64,1000000,0,34.0122581,21.371783066045186,0.0,18.1,32.3,47.8,100.0,51586,0,1001,-26.449999999999996,92.35,8881,0.8881
is_fake_posting,int64,1000000,0,0.221958,0.4155632550272208,0.0,0.0,0.0,0.0,1.0,778042,0,2,,,0,0.0
