column_name,pandas_dtype,row_count,unique_count,null_count,uniqueness_ratio,potential_unique_key,near_unique_needs_review
company_name,str,1000000,535938,0,0.535938,False,False
stipend,float64,1000000,73830,10000,0.07383,False,False
registration_fee,int64,1000000,4951,0,0.004951,False,False
job_description_length,int64,1000000,3946,0,0.003946,False,False
posting_date,str,1000000,3287,0,0.003287,False,False
trust_signal_score,float64,1000000,1001,10000,0.001001,False,False
fraud_score,float64,1000000,1001,0,0.001001,False,False
recruiter_response_time_hours,float64,1000000,595,0,0.000595,False,False
domain_age_months,int64,1000000,500,0,0.0005,False,False
recruiter_experience_years,float64,1000000,183,0,0.000183,False,False
vague_description_score,int64,1000000,101,0,0.000101,False,False
urgency_score,int64,1000000,101,0,0.000101,False,False
keyword_spam_score,int64,1000000,101,0,0.000101,False,False
emotional_manipulation_score,int64,1000000,101,0,0.000101,False,False
phishing_language_score,int64,1000000,100,0,0.0001,False,False
company_age,float64,1000000,39,10000,3.9e-05,False,False
grammatical_errors,int64,1000000,15,0,1.5e-05,False,False
internship_title,str,1000000,9,0,9e-06,False,False
industry,str,1000000,9,0,9e-06,False,False
location,str,1000000,9,0,9e-06,False,False
employment_type,str,1000000,4,0,4e-06,False,False
company_size,str,1000000,4,0,4e-06,False,False
work_mode,str,1000000,3,0,3e-06,False,False
linkedin_presence,int64,1000000,2,0,2e-06,False,False
website_available,int64,1000000,2,0,2e-06,False,False
verification_status,int64,1000000,2,0,2e-06,False,False
payment_required,int64,1000000,2,0,2e-06,False,False
fake_certificate_offer,int64,1000000,2,0,2e-06,False,False
recruiter_email_type,str,1000000,2,0,2e-06,False,False
suspicious_email_domain,int64,1000000,2,0,2e-06,False,False
social_media_presence,int64,1000000,2,0,2e-06,False,False
is_fake_posting,int64,1000000,2,0,2e-06,False,False
unrealistic_salary_flag,int64,1000000,1,0,1e-06,False,False
