column_name,staging_dtype,pandas_dtype,non_null_count,null_count,null_pct,unique_count,min,max,source_or_derived,transformation,value_digest_sha256
posting_date,DATE NOT NULL,datetime64[us],1000000,0,0.0,3287,2018-01-01,2026-12-31,Source,"Parsed as a real date, emitted as ISO YYYY-MM-DD (approved representation change; no value re-dated, no row removed)",7abb04e2b95d0a88fa5c2a976891606ff59adff752d7c2e99443bdec9b24a6e8
internship_title,VARCHAR(32) NOT NULL,str,1000000,0,0.0,9,,,Source,None - preserved verbatim from source,4a70d0c63046493beb539c798390773adb3a8c8c76b4954eeb01669a10a74e98
employment_type,VARCHAR(16) NOT NULL,str,1000000,0,0.0,4,,,Source,None - preserved verbatim from source,61dfa2cd9c24542e13601a35bed788719df808b7503626be18aa788662239343
work_mode,VARCHAR(16) NOT NULL,str,1000000,0,0.0,3,,,Source,None - preserved verbatim from source,c5014a5028a893080d1bc5c8cef946c248ab4b0401ad8a0beb5a401dd3d844c6
industry,VARCHAR(24) NOT NULL,str,1000000,0,0.0,9,,,Source,None - preserved verbatim from source,2c7ac727b0777b402a0e2f75c7fa081ee9204f9d978a7067b3bdff6f5c01d717
location,VARCHAR(24) NOT NULL,str,1000000,0,0.0,9,,,Source,None - preserved verbatim from source,7df669bf70ae8c0fb3c3ff07427f8ecb3baf5e38198ed3cb1ea8f5f4dbb53632
company_name,VARCHAR(64) NOT NULL,str,1000000,0,0.0,535938,,,Source,None - preserved verbatim from source,990528ea81d69e133f3a741d0edb6928309fa19b0b2ed715cc5ab887ea3f38ec
company_size,VARCHAR(16) NOT NULL,str,1000000,0,0.0,4,,,Source,None - preserved verbatim from source,1da43f2693bcb87278b3477403bfe1c558cd00a2d85bfaddea43e87799f5ec31
company_age,SMALLINT NULL,Int64,990000,10000,1.0,39,1,39,Source,None - value preserved; typed as nullable integer (0 non-integral source values); NULL preserved as NULL,5434bba741b795c85d9fa54351ee6eec8bb602b7411937e3d8b6dab4efcca86a
linkedin_presence,SMALLINT NOT NULL,int64,1000000,0,0.0,2,0,1,Source,None - preserved verbatim from source,7e3a0bcd9626da75e52b46ee6f6151560d8b959d53860611d41cd4befdf62039
website_available,SMALLINT NOT NULL,int64,1000000,0,0.0,2,0,1,Source,None - preserved verbatim from source,37b17e9f67299bbbba1165a63d7ccf330f22e4064f65035c7e6385a985a7e3c6
domain_age_months,SMALLINT NOT NULL,int64,1000000,0,0.0,500,1,500,Source,None - preserved verbatim from source,a812053cc3672a77222c1a4e1ffd1b044f2514b6d7c354465b97686ec8eed3c7
verification_status,SMALLINT NOT NULL,int64,1000000,0,0.0,2,0,1,Source,None - preserved verbatim from source,0f63c5e49d1aa9467715d60bbd9ee4dca7b858fcf37145ff11f15b14ac8bc85e
stipend,INTEGER NULL,Int64,990000,10000,1.0,73830,2000,110428,Source,None - value preserved; typed as nullable integer (0 non-integral source values); NULL preserved as NULL,454a74b87050957cc98a62571218fb890f9572c10534ed79ce80800c092c4745
unrealistic_salary_flag,SMALLINT NOT NULL,int64,1000000,0,0.0,1,0,0,Source,None - preserved verbatim from source,6506614505e113daab08b3f894ca46d4d61867c7b007c413b47a669abe8aae67
